,Id,Label,Count,Influence,AvgInfluence
0,Video game ads,Video game ads,349,12189.0,34.92550143266476
1,Ads on Pay TV,Ads on Pay TV,536,20805.0,38.815298507462686
2,Personal letter/ statement,Personal letter/ statement,502,30139.0,60.037848605577686
3,TV/Film Product placement,TV/Film Product placement,623,29019.0,46.57945425361156
4,Social network page/app,Social network page/app,608,38605.0,63.495065789473685
5,Relevant websites,Relevant websites,1033,72888.0,70.5595353339787
6,Consumer opinion site/ blogs,Consumer opinion site/ blogs,669,46638.0,69.71300448430493
7,Ads in Newspapers,Ads in Newspapers,788,29819.0,37.84137055837564
8,Internet apps/widgets,Internet apps/widgets,468,27695.0,59.177350427350426
9,Direct mail,Direct mail,727,26386.0,36.29436038514443
10,Direct mail (owned),Direct mail (owned),656,34587.0,52.72408536585366
11,Consumer views on social networks,Consumer views on social networks,611,40513.0,66.30605564648118
12,Ads on outdoor posters or billboards,Ads on outdoor posters or billboards,780,31913.0,40.91410256410256
13,Loyalty card/ scheme,Loyalty card/ scheme,777,41797.0,53.792792792792795
14,Independent review,Independent review,780,53473.0,68.5551282051282
15,Consumer views on microblogs,Consumer views on microblogs,434,28763.0,66.2741935483871
16,TV program sponsor,TV program sponsor,767,38138.0,49.72359843546284
17,Print advertorial,Print advertorial,680,29616.0,43.55294117647059
18,Ads in shopping centres,Ads in shopping centres,984,35913.0,36.4969512195122
19,Sales assistant/ dealer/ agent/ financial advisor,Sales assistant/ dealer/ agent/ financial advisor,637,41941.0,65.8414442700157
20,Event sponsor,Event sponsor,492,20826.0,42.329268292682926
21,Ads on Radio,Ads on Radio,606,22326.0,36.84158415841584
22,Brochure/ catalogue,Brochure/ catalogue,1174,50085.0,42.6618398637138
23,Celebrity endorsement,Celebrity endorsement,544,21370.0,39.283088235294116
24,Delivery/ branded vehicles,Delivery/ branded vehicles,478,23808.0,49.80753138075314
25,Price comparison site,Price comparison site,980,59314.0,60.52448979591837
26,Window display/ ad,Window display/ ad,721,48775.0,67.64909847434119
27,Branded merchandise,Branded merchandise,634,31780.0,50.126182965299684
28,Brand event,Brand event,489,22312.0,45.627811860940696
29,Call centre/ help line,Call centre/ help line,402,20313.0,50.52985074626866
30,Seeing others with brand,Seeing others with brand,795,58901.0,74.08930817610063
31,Salesperson recommendation,Salesperson recommendation,650,49887.0,76.74923076923076
32,Print inserts/ leaflets,Print inserts/ leaflets,762,34255.0,44.95406824146982
33,Brand page on social network,Brand page on social network,527,22893.0,43.44022770398482
34,Radio promotions/ DJ recommendation,Radio promotions/ DJ recommendation,466,21963.0,47.13090128755365
35,Social networking site,Social networking site,677,50834.0,75.08714918759232
36,Coupons,Coupons,754,35422.0,46.97877984084881
37,Brand website,Brand website,1117,52113.0,46.6544315129812
38,Friends/ family recommendation,Friends/ family recommendation,1541,80293.0,52.1044776119403
39,Online retailer website,Online retailer website,969,58240.0,60.103199174406605
40,Event demonstration/ trial,Event demonstration/ trial,476,24183.0,50.804621848739494
